Day;Times;VO2w;Etwo;Etw;Ecwo;Ecw;Er;Ee;Es;TDEEwo;TDEEw;D.T;T.Time;C.Time;ID;E.Time
06/10/2018;06:50:44;;209;;376;;6.6902666;5.877331679;5.682869786;85.29948011;;137.1093372;0.09;879;NE;0.31
11/10/2018;10:18:36;0.38;206;231;288;449;10.929512;6.522860576;4.633874045;81.91237203;88.91152287;170.9045421;0.12;895;GB;0.26
21/10/2018;11:01:23;;209;;376;;15.6820963;3.038196957;4.884493331;114.0759339;;286.9440314;0.2;1541;LA;0.1
23/10/2018;07:18:00;;209;;376;;10.55126749;0.896932924;1.002551418;131.2102338;;329.8726027;0.33;625;ET;0.04
27/10/2018;08:58:05;;209;;376;;11.54401673;5.397737725;4.77586178;94.27409755;;293.7426049;0.12;1158;HU;0.22
28/10/2018;12:00:52;;209;;376;;11.55794028;7.027896021;7.74163399;115.4853335;;104.2394642;0.24;1158;UL;0.21
02/11/2018;11:03:30;;209;;376;;14.55011154;3.479361908;9.140756008;104.3788719;;196.5938206;0.14;1867;ET;0.11
03/11/2018;07:55:56;;209;;376;;10.62645467;5.697483946;1.730251925;91.67298965;;113.9291506;0.14;516;NE;0.26
08/11/2018;11:18:11;0.38;206;231;288;449;6.530997797;2.896206647;5.748204963;162.1100607;195.8202958;119.9137668;0.35;6270;GB;0.11
15/11/2018;06:09:14;;209;;376;;5.343859149;6.59211113;0.619068956;107.3644886;;568.8907212;0.22;492;UL;0.39
16/11/2018;08:36:58;;209;;376;;7.806935448;3.175004206;0.961978188;157.175567;;173.6092204;0.45;987;BM;0.13
30/11/2018;10:01:56;;209;;376;;9.52231702;3.934361301;6.341203159;141.7256908;;473.0699819;0.25;3569;BM;0.14
04/12/2018;07:11:00;0.38;206;231;288;449;10.64595327;3.346593036;2.178218873;63.57656708;67.11874097;65.36439425;0.04;390;KT;0.19
05/12/2018;10:07:42;;209;;376;;14.25353989;5.521479114;3.198741077;95.05128334;;317.2318941;0.17;270;AG;0.2
06/12/2018;10:02:20;0.38;206;231;288;449;4.09117313;4.693039641;3.21000676;157.8651964;174.7077566;414.2014606;0.52;801;KT;0.19
10/12/2018;11:09:49;;209;;376;;7.929462703;2.594726265;9.610620185;172.2152383;;299.6725694;0.29;6249;AG;0.08
11/12/2018;08:34:50;;209;;376;;2.83483513;2.959033211;2.99980137;242.002129;;250.8928456;0.35;9832;ET;0.12
13/12/2018;10:22:23;;209;;376;;10.9919479;8.777952806;6.775729361;94.70937732;;111.5059565;0.07;2372;AG;0.31
04/01/2019;07:22:00;;209;;376;;11.75565471;3.277993934;3.147697337;84.85763329;;66.39366516;0.08;812;KB;0.16
18/01/2019;11:08:33;0.38;206;231;288;449;13.33640727;5.071391136;7.20990447;75.46298501;80.3538967;30.26843536;0.09;620;KT;0.19
;;;;;;;;;;;;;;;;
